                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                  3.342,                 4.6637,                 4.2166,                0.00493,                0.88462,                 0.0136,                0.00599,                 2.8757,                 4.6738,                 4.1443,                 0.0811,                 0.0021,                 0.0021
                      1,                 3.3009,                 4.5527,                 4.1886,                0.00514,                0.88462,                0.02054,                0.00675,                 2.8706,                 4.6851,                 4.1262,               0.061286,              0.0042858,              0.0042858
                      2,                 3.3279,                 4.5095,                  4.146,                0.00559,                0.88462,                0.01012,                 0.0031,                 2.8975,                 4.7063,                 4.1117,               0.041457,              0.0064571,              0.0064571
                      3,                 3.2742,                 4.4667,                 4.1027,                0.00522,                0.88462,                 0.0161,                 0.0043,                 2.9028,                 4.5569,                 4.0871,               0.021614,              0.0086139,              0.0086139
                      4,                 3.2792,                 4.4236,                 4.0612,                0.00605,                0.84615,                0.02363,                0.00902,                 2.9452,                  4.671,                  4.396,               0.009868,               0.009868,               0.009868
                      5,                 3.3206,                 4.4476,                 4.0219,                0.00433,                0.76923,                0.00611,                  0.002,                 2.8217,                 6.4212,                 4.3011,               0.009868,               0.009868,               0.009868
                      6,                 3.1991,                 4.4153,                 3.9177,                  0.005,                0.88462,                0.02703,                0.00435,                 2.8948,                 4.6515,                 3.8365,               0.009835,               0.009835,               0.009835
                      7,                 3.1258,                 4.3958,                 3.7904,                0.00621,                0.84615,                0.00894,                0.00226,                 2.9257,                 4.8546,                 3.7271,               0.009802,               0.009802,               0.009802
                      8,                 2.9577,                   4.43,                  3.638,                0.00695,                0.67308,                0.00903,                0.00245,                  2.659,                 4.5949,                 3.9459,               0.009769,               0.009769,               0.009769
                      9,                 2.8897,                 4.3831,                 3.5162,                0.00888,                0.76923,                0.00969,                0.00201,                 2.8598,                 5.7192,                 3.7561,               0.009736,               0.009736,               0.009736
                     10,                 2.7652,                  4.357,                  3.394,                0.00092,                0.03846,                0.00142,                 0.0003,                 3.6774,                    115,                 4.8578,               0.009703,               0.009703,               0.009703
                     11,                 2.8284,                 4.2751,                 3.3887,                0.01403,                    0.5,                0.09081,                0.01826,                 3.0857,                 347.86,                 7.7594,                0.00967,                0.00967,                0.00967
                     12,                 2.8511,                 4.2582,                 3.2992,                0.00467,                    0.5,                0.00798,                 0.0008,                 3.0759,                 13.508,                 3.7849,               0.009637,               0.009637,               0.009637
                     13,                  2.841,                 4.2282,                 3.3286,                0.14368,                0.03846,                0.04524,                 0.0088,                 2.8852,                 25.335,                 3.6615,               0.009604,               0.009604,               0.009604
                     14,                 2.7506,                 4.0931,                 3.2258,                 0.8425,                0.03846,                0.05633,                0.01606,                 2.9207,                 18.812,                 3.6972,               0.009571,               0.009571,               0.009571
                     15,                 2.6706,                 4.2074,                 3.2041,                0.01114,                0.36538,                 0.0129,                0.00269,                 2.9042,                 10.117,                 3.4857,               0.009538,               0.009538,               0.009538
                     16,                 2.7731,                 4.1241,                 3.1659,                0.01468,                0.73077,                0.02482,                0.00441,                 2.8737,                 7.8529,                 3.5734,               0.009505,               0.009505,               0.009505
                     17,                 2.7387,                 4.1076,                 3.1352,                0.07428,                0.03846,                0.07165,                 0.0135,                 2.6828,                 6.3608,                 3.3219,               0.009472,               0.009472,               0.009472
                     18,                 2.6009,                 4.0933,                 3.0458,                0.09811,                0.28846,                0.09133,                0.01459,                 2.9541,                 9.2942,                 3.5313,               0.009439,               0.009439,               0.009439
                     19,                 2.5893,                 4.0479,                 3.0583,                0.00624,                0.67308,                0.04358,                0.01121,                 2.7156,                 4.7871,                 3.3549,               0.009406,               0.009406,               0.009406
                     20,                 2.6095,                 3.9326,                 3.0488,                0.00319,                0.36538,                0.00279,                0.00069,                 2.7967,                 4.7713,                 4.2777,               0.009373,               0.009373,               0.009373
                     21,                 2.5782,                 3.9444,                 3.0124,                0.00534,                0.51923,                 0.0068,                0.00211,                 2.6601,                 21.516,                 3.5809,                0.00934,                0.00934,                0.00934
                     22,                 2.5169,                 3.9048,                 2.9774,                0.00602,                0.67308,                0.01856,                0.00446,                 3.1168,                 9.8339,                 3.5604,               0.009307,               0.009307,               0.009307
                     23,                 2.4405,                 3.8696,                 2.9212,                0.15127,                 0.1008,                0.07825,                0.02088,                 2.7131,                 5.2899,                 3.3153,               0.009274,               0.009274,               0.009274
                     24,                 2.3989,                 3.7918,                 2.8757,                0.02953,                0.67308,                0.03238,                0.00943,                 2.6369,                 4.6038,                 3.1536,               0.009241,               0.009241,               0.009241
                     25,                  2.375,                 3.7412,                 2.8453,                0.19218,                0.05024,                0.14445,                0.04537,                 2.3784,                 3.3511,                  3.032,               0.009208,               0.009208,               0.009208
                     26,                 2.3255,                 3.7738,                 2.8074,                0.01878,                0.55769,                0.03455,                0.01026,                 2.2599,                 3.9453,                 3.2949,               0.009175,               0.009175,               0.009175
                     27,                 2.3372,                 3.6471,                 2.7937,                0.05901,                0.36538,                0.04936,                0.01381,                 2.2806,                 4.3905,                 3.0874,               0.009142,               0.009142,               0.009142
                     28,                 2.2717,                 3.6516,                 2.7433,                 0.1427,                0.47962,                0.12313,                0.03277,                 2.2316,                 4.4217,                 2.8847,               0.009109,               0.009109,               0.009109
                     29,                 2.2883,                 3.6045,                 2.7581,                0.01942,                0.30769,                0.02367,                0.00917,                 2.1831,                 17.586,                 2.8879,               0.009076,               0.009076,               0.009076
                     30,                  2.264,                  3.537,                 2.7029,                0.15648,                0.36538,                0.11527,                0.03688,                 2.1547,                 4.3222,                 2.8446,               0.009043,               0.009043,               0.009043
                     31,                 2.3299,                 3.6049,                 2.6959,                0.10725,                0.48077,                0.08695,                0.02969,                 2.0806,                 3.6933,                 2.8031,                0.00901,                0.00901,                0.00901
                     32,                 2.1979,                 3.4284,                 2.6043,                0.19375,                0.19484,                0.23662,                0.06899,                 2.2236,                 3.9291,                  2.875,               0.008977,               0.008977,               0.008977
                     33,                 2.1678,                  3.322,                 2.5751,                0.31631,                0.48028,                0.25067,                0.10924,                 2.2418,                 3.3094,                 2.8859,               0.008944,               0.008944,               0.008944
                     34,                 2.1941,                 3.4233,                 2.6109,                0.17361,                0.15385,                0.15973,                0.05934,                 2.4393,                  3.353,                 3.0366,               0.008911,               0.008911,               0.008911
                     35,                 2.2607,                 3.4278,                 2.6159,                0.33641,                0.44231,                0.34129,                0.10817,                 2.1498,                 2.9794,                 2.7553,               0.008878,               0.008878,               0.008878
                     36,                  2.153,                 3.2797,                 2.5343,                0.46001,                0.37671,                0.32773,                0.11497,                 2.2123,                 3.6173,                 2.8536,               0.008845,               0.008845,               0.008845
                     37,                  2.167,                 3.2384,                 2.5209,                 0.3129,                0.48077,                0.35238,                0.13463,                  2.056,                  2.728,                 2.6879,               0.008812,               0.008812,               0.008812
                     38,                 2.1122,                 3.1685,                 2.4982,                0.16598,                0.19231,                0.23643,                0.10076,                 2.1355,                 3.3345,                 2.7089,               0.008779,               0.008779,               0.008779
                     39,                 2.1057,                 3.1449,                 2.4912,                0.49542,                0.52398,                0.39032,                0.17749,                 2.0079,                 2.6214,                 2.6583,               0.008746,               0.008746,               0.008746
                     40,                 2.1302,                 3.1424,                 2.4524,                0.18779,                0.19231,                0.23793,                0.09242,                 2.1285,                 2.9797,                 2.7448,               0.008713,               0.008713,               0.008713
                     41,                 2.1261,                 3.1438,                 2.4522,                0.51174,                0.48871,                0.35326,                 0.1414,                 2.0875,                 2.9424,                 2.7492,                0.00868,                0.00868,                0.00868
                     42,                  2.021,                 3.0122,                 2.3671,                0.84186,                   0.25,                0.53492,                0.22156,                 2.1125,                 2.9897,                 2.7996,               0.008647,               0.008647,               0.008647
                     43,                  2.046,                  3.047,                 2.3689,                0.11179,                0.28846,                0.20078,                 0.0739,                 2.2375,                  3.321,                 2.9968,               0.008614,               0.008614,               0.008614
                     44,                 2.0166,                 2.9802,                  2.344,                0.35818,                0.51923,                0.34511,                0.15547,                 1.9209,                 2.7815,                 2.6359,               0.008581,               0.008581,               0.008581
                     45,                  1.982,                 2.9566,                 2.3495,                0.26977,                0.36538,                0.28181,                0.10493,                 2.1232,                 3.2211,                 2.8577,               0.008548,               0.008548,               0.008548
